Opt. Const. of AlignedPFO vs. nm,,,,,,
nm	"n	 Ex"	"k	 Ex"	"n	 Ey"	"k	 Ey"	"n	 Ez"	"k	 Ez"
499	1.621006	0	1.993929	0	1.615849	0
500	1.620423	0	1.991413	0	1.615359	0
501	1.619841	0	1.988731	0	1.614879	0
502	1.619255	0	1.985827	0	1.614407	0
503	1.618666	0	1.982725	0	1.613944	0
504	1.618078	0	1.979499	0	1.613489	0
505	1.617498	0	1.976223	0	1.613042	0
506	1.61693	0	1.972971	0	1.612603	0
507	1.616377	0	1.969815	0	1.612171	0
508	1.615845	0	1.966827	0	1.611747	0
509	1.615338	0	1.964074	0	1.611329	0
510	1.614861	0	1.961625	0	1.610919	0
511	1.614412	0	1.959485	0	1.610515	0
512	1.613988	0	1.95758	0	1.610118	0
513	1.613582	0	1.955834	0	1.609727	0
514	1.613189	0	1.954171	0	1.609342	0
515	1.612803	0	1.952516	0	1.608963	0
516	1.61242	0	1.950798	0	1.608589	0
517	1.612033	0	1.948943	0	1.608222	0
518	1.611639	0	1.946884	0	1.607859	0
519	1.611233	0	1.944565	0	1.607502	0
520	1.610816	0	1.942032	0	1.607151	0
521	1.610391	0	1.93936	0	1.606804	0
522	1.609962	0	1.936627	0	1.606462	0
523	1.609531	0	1.933906	0	1.606125	0
524	1.609102	0	1.93127	0	1.605792	0
525	1.608676	0	1.928793	0	1.605465	0
526	1.608258	0	1.926545	0	1.605141	0
527	1.60785	0	1.924594	0	1.604822	0
528	1.607453	0	1.922982	0	1.604507	0
529	1.607067	0	1.921653	0	1.604196	0
530	1.60669	0	1.92053	0	1.60389	0
531	1.606321	0	1.919542	0	1.603587	0
532	1.605959	0	1.918614	0	1.603288	0
533	1.605603	0	1.917677	0	1.602993	0
534	1.605251	0	1.916661	0	1.602701	0
535	1.604902	0	1.915499	0	1.602413	0
536	1.604554	0	1.914122	0	1.602129	0
537	1.604208	0	1.912484	0	1.601848	0
538	1.603862	0	1.910621	0	1.60157	0
539	1.603519	0	1.908596	0	1.601296	0
540	1.603179	0	1.90647	0	1.601025	0
541	1.602842	0	1.904304	0	1.600757	0
542	1.602509	0	1.902156	0	1.600492	0
543	1.602182	0	1.900086	0	1.60023	0
544	1.60186	0	1.898149	0	1.599971	0
545	1.601544	0	1.896403	0	1.599715	0
546	1.601236	0	1.8949	0	1.599462	0
547	1.600935	0	1.893645	0	1.599212	0
548	1.600639	0	1.892594	0	1.598964	0
549	1.600349	0	1.891703	0	1.598719	0
550	1.600063	0	1.890924	0	1.598477	0
551	1.59978	0	1.890217	0	1.598238	0
552	1.599499	0	1.889536	0	1.598	0
553	1.59922	0	1.888841	0	1.597766	0
554	1.598942	0	1.88809	0	1.597533	0
555	1.598663	0	1.887243	0	1.597303	0
556	1.598384	0	1.886264	0	1.597076	0
557	1.598104	0	1.885156	0	1.596851	0
558	1.597826	0	1.883945	0	1.596627	0
559	1.59755	0	1.882658	0	1.596407	0
560	1.597278	0	1.881319	0	1.596188	0
561	1.597011	0	1.879953	0	1.595971	0
562	1.596751	0	1.878584	0	1.595757	0
563	1.596499	0	1.877236	0	1.595545	0
564	1.596256	0	1.875934	0	1.595335	0
565	1.596024	0	1.874698	0	1.595126	0
566	1.595803	0	1.873552	0	1.59492	0
567	1.595593	0	1.872496	0	1.594715	0
568	1.595391	0	1.871515	0	1.594513	0
569	1.595194	0	1.870593	0	1.594312	0
570	1.594999	0	1.869715	0	1.594113	0
571	1.594804	0	1.868866	0	1.593916	0
572	1.594606	0	1.868032	0	1.593721	0
573	1.594403	0	1.867197	0	1.593527	0
574	1.594192	0	1.866348	0	1.593335	0
575	1.59397	0	1.865471	0	1.593145	0
576	1.593737	0	1.864552	0	1.592957	0
577	1.593489	0	1.863583	0	1.59277	0
578	1.59323	0	1.86257	0	1.592584	0
579	1.592963	0	1.861524	0	1.592401	0
580	1.59269	0	1.860455	0	1.592218	0
581	1.592416	0	1.859375	0	1.592038	0
582	1.592142	0	1.858291	0	1.591859	0
583	1.591872	0	1.857215	0	1.591681	0
584	1.591609	0	1.856155	0	1.591505	0
585	1.591355	0	1.855122	0	1.59133	0
586	1.591113	0	1.854124	0	1.591156	0
587	1.590886	0	1.853171	0	1.590984	0
588	1.590675	0	1.852267	0	1.590814	0
589	1.590478	0	1.851408	0	1.590644	0
590	1.590293	0	1.850589	0	1.590476	0
591	1.590117	0	1.849802	0	1.59031	0
592	1.589947	0	1.849042	0	1.590144	0
593	1.589782	0	1.848303	0	1.58998	0
594	1.589618	0	1.84758	0	1.589817	0
595	1.589453	0	1.846866	0	1.589656	0
596	1.589286	0	1.846157	0	1.589495	0
597	1.589113	0	1.845447	0	1.589336	0
598	1.588932	0	1.84473	0	1.589178	0
599	1.588743	0	1.844002	0	1.589021	0
600	1.588544	0	1.843264	0	1.588865	0
601	1.588339	0	1.842518	0	1.58871	0
602	1.588128	0	1.841768	0	1.588557	0
603	1.587914	0	1.841017	0	1.588404	0
604	1.587697	0	1.840266	0	1.588253	0
605	1.58748	0	1.839519	0	1.588103	0
606	1.587264	0	1.838779	0	1.587954	0
607	1.58705	0	1.838047	0	1.587805	0
608	1.586841	0	1.837328	0	1.587658	0
609	1.586637	0	1.836623	0	1.587512	0
610	1.586439	0	1.835934	0	1.587367	0
611	1.58625	0	1.835264	0	1.587223	0
612	1.586068	0	1.83461	0	1.587079	0
613	1.585892	0	1.833969	0	1.586937	0
614	1.585721	0	1.833339	0	1.586796	0
615	1.585555	0	1.832718	0	1.586655	0
