Opt. Const. of PFOGlassy0Vol% vs. nm,,,,
nm	"n	 Ordinary"	"k	 Ordinary"	"n	 Extra-ordinary"	"k	 Extra-ordinary"
620	1.664921	0	1.604985	0
621	1.664641	0	1.604813	0
622	1.664364	0	1.604643	0
623	1.664088	0	1.604473	0
624	1.663814	0	1.604304	0
625	1.663543	0	1.604137	0
626	1.663273	0	1.603971	0
627	1.663006	0	1.603805	0
628	1.66274	0	1.603641	0
629	1.662477	0	1.603478	0
630	1.662215	0	1.603316	0
631	1.661956	0	1.603155	0
632	1.661698	0	1.602995	0
633	1.661443	0	1.602836	0
634	1.661189	0	1.602677	0
635	1.660937	0	1.60252	0
636	1.660687	0	1.602364	0
637	1.660439	0	1.602209	0
638	1.660192	0	1.602054	0
639	1.659948	0	1.601901	0
640	1.659705	0	1.601748	0
641	1.659464	0	1.601597	0
642	1.659224	0	1.601446	0
643	1.658987	0	1.601296	0
644	1.658751	0	1.601147	0
645	1.658516	0	1.600999	0
646	1.658283	0	1.600852	0
647	1.658052	0	1.600706	0
648	1.657823	0	1.60056	0
649	1.657595	0	1.600415	0
650	1.657368	0	1.600271	0
651	1.657144	0	1.600128	0
652	1.65692	0	1.599986	0
653	1.656699	0	1.599844	0
654	1.656478	0	1.599703	0
655	1.65626	0	1.599563	0
656	1.656042	0	1.599424	0
657	1.655827	0	1.599285	0
658	1.655612	0	1.599147	0
659	1.655399	0	1.59901	0
660	1.655188	0	1.598874	0
661	1.654978	0	1.598738	0
662	1.654769	0	1.598603	0
663	1.654562	0	1.598469	0
664	1.654355	0	1.598336	0
665	1.654151	0	1.598203	0
666	1.653947	0	1.598071	0
667	1.653745	0	1.597939	0
668	1.653545	0	1.597808	0
669	1.653345	0	1.597678	0
670	1.653147	0	1.597549	0
671	1.65295	0	1.59742	0
672	1.652755	0	1.597291	0
673	1.65256	0	1.597164	0
674	1.652367	0	1.597037	0
675	1.652175	0	1.59691	0
676	1.651984	0	1.596785	0
677	1.651794	0	1.596659	0
678	1.651606	0	1.596535	0
679	1.651419	0	1.596411	0
680	1.651233	0	1.596287	0
681	1.651048	0	1.596164	0
682	1.650864	0	1.596042	0
683	1.650681	0	1.59592	0
684	1.6505	0	1.595799	0
685	1.650319	0	1.595679	0
686	1.65014	0	1.595559	0
687	1.649961	0	1.595439	0
688	1.649784	0	1.59532	0
689	1.649608	0	1.595202	0
690	1.649433	0	1.595084	0
691	1.649258	0	1.594966	0
692	1.649085	0	1.594849	0
693	1.648913	0	1.594733	0
694	1.648742	0	1.594617	0
695	1.648572	0	1.594502	0
696	1.648403	0	1.594387	0
697	1.648235	0	1.594272	0
698	1.648067	0	1.594159	0
699	1.647901	0	1.594045	0
700	1.647736	0	1.593932	0
701	1.647572	0	1.59382	0
702	1.647408	0	1.593708	0
703	1.647246	0	1.593596	0
704	1.647084	0	1.593485	0
705	1.646924	0	1.593374	0
706	1.646764	0	1.593264	0
707	1.646605	0	1.593154	0
708	1.646447	0	1.593045	0
709	1.64629	0	1.592936	0
710	1.646134	0	1.592827	0
711	1.645979	0	1.592719	0
712	1.645824	0	1.592612	0
713	1.64567	0	1.592504	0
714	1.645518	0	1.592398	0
715	1.645366	0	1.592291	0
716	1.645215	0	1.592185	0
717	1.645064	0	1.59208	0
718	1.644915	0	1.591974	0
719	1.644766	0	1.591869	0
720	1.644618	0	1.591765	0
721	1.644471	0	1.591661	0
722	1.644325	0	1.591557	0
723	1.644179	0	1.591454	0
724	1.644034	0	1.591351	0
725	1.64389	0	1.591249	0
726	1.643747	0	1.591146	0
727	1.643604	0	1.591045	0
728	1.643462	0	1.590943	0
729	1.643321	0	1.590842	0
730	1.643181	0	1.590741	0
731	1.643041	0	1.590641	0
732	1.642902	0	1.590541	0
733	1.642764	0	1.590441	0
734	1.642627	0	1.590342	0
735	1.64249	0	1.590243	0
736	1.642354	0	1.590144	0
737	1.642218	0	1.590046	0
738	1.642084	0	1.589947	0
739	1.64195	0	1.58985	0
740	1.641816	0	1.589752	0
741	1.641683	0	1.589655	0
742	1.641551	0	1.589558	0
